level,title,type,description,source_id,degree,human_readable_id,id,size,graph_embedding,entity_type,community,top_level_node_id,x,y
0,LARS VEGARD,PERSON,Norwegian physicist who is a pioneer in crystallography,0c78f6cfb9fb27f4786605db76e9c8c0,1,0,2831d94ff7dc48ac8a2d2f64a00dc9f3,1,,,,2831d94ff7dc48ac8a2d2f64a00dc9f3,0,0
0,JOSEF GOČÁR,PERSON,Czech architect,0c78f6cfb9fb27f4786605db76e9c8c0,0,1,4058b2b9adf64c82b0e751dfc174fbc0,0,,,,4058b2b9adf64c82b0e751dfc174fbc0,0,0
0,BARBETTE,PERSON,Performer,0c78f6cfb9fb27f4786605db76e9c8c0,0,3,c04678d27bcb484f9278ae083d351470,0,,,,c04678d27bcb484f9278ae083d351470,0,0
0,ALEXANDER_WEISSBERG_CYBULSKI,PERSON,"Alexander Weissberg-Cybulski, a person of Jewish descent who testified in the trial David Rousset vs. Les Lettres francaises and wrote the book The Accused",0d3fb6daa8149c0eb28e949950fbdd82,0,14,35227c3abe4f4b8badb4fd0813483b5b,0,,,,35227c3abe4f4b8badb4fd0813483b5b,0,0
0,MADELEINE_CARROLL,PERSON,"Edith Madeleine Carroll, an English actress popular both in Britain and America in the 1930s and 1940s",0d3fb6daa8149c0eb28e949950fbdd82,0,15,b1dfe13ca1fc4bbdbf6bd5492f2ca80d,0,,,,b1dfe13ca1fc4bbdbf6bd5492f2ca80d,0,0
0,HÉLYETTE GEMAN,PERSON,French journalist who was held hostage,4dc02b04dfd949f5f71bc4a77fb09301,0,16,8877beed52e64660b9cc86d4a57467cf,0,,,,8877beed52e64660b9cc86d4a57467cf,0,0
0,"OTTO I, DUKE OF SAXONY",PERSON,"German Duke)  (""entity""",9a341084e8c08b2f6b0fedaee0009848,0,20,af0bc83bff2b4f8e84d9af79e4493028,0,,,,af0bc83bff2b4f8e84d9af79e4493028,0,0
0,ANTENOR PATIÑO,PERSON,"Bolivian tycoon who was heir to his father Simón I. Patiño, called """"the King of Tin""""",4a12fd1491031369b74388678027be46,2,21,bf22b664eab34433bc614678e9256c2c,2,,,2,bf22b664eab34433bc614678e9256c2c,0,0
0,CHRISTIAN FÜRCHTEGOTT GELLERT,PERSON,"German poet, one of the forerunners of the golden age of German literature that was ushered in by Lessing",4a12fd1491031369b74388678027be46,1,22,035451bd77d94806b907ddb6f53d42de,1,,,,035451bd77d94806b907ddb6f53d42de,0,0
0,JACQUES ERRERA,PERSON," Jacques Errera, a distinguished Belgian scientist, is recognized for his contributions to both physics and physicochemistry. He notably participated in the prestigious Solvay Conference of 1933, an event that brought together some of the most brilliant minds in science at the time. In addition to his work in physics, Errera was also awarded the Francqui Prize in Exact Sciences, a testament to his significant contributions in these fields.","78b45c7539f7a91b930b0982ad190628,9b8151f2d680e351a8a80199440d7dec",9,26,f0f8bee59f7042ec9b77f017107c0a6e,9,,,,f0f8bee59f7042ec9b77f017107c0a6e,0,0
0,PIERRE BOURGEOIS,PERSON,"Pierre Bourgeois, Belgian poet who published around 800 poems",78b45c7539f7a91b930b0982ad190628,3,31,03cd4b1e16d644b8bd7a9f77cbac8efc,3,,,,03cd4b1e16d644b8bd7a9f77cbac8efc,0,0
0,YEŞIM USTAOĞLU,PERSON,Turkish filmmaker and screenwriter,6ccf21e96580131d95e35a97e44b69f9,3,41,0d8b7037acd14c76978c7fb964f24ad5,3,,,,0d8b7037acd14c76978c7fb964f24ad5,0,0
0,JACOB BADEN,PERSON,"Danish philologist, pedagogue, and critic",6ccf21e96580131d95e35a97e44b69f9,3,42,f0e6237c422a4b16b47aa6d24c84fd26,3,,,,f0e6237c422a4b16b47aa6d24c84fd26,0,0
0,JULIUS VINCENZ VON KROMBHOLZ,PERSON,"Julius Vincenz von Krombholz, a physician and mycologist born in Oberpolitz (today Horní Police, Czech Republic)",bba98b1e9adb55048eb1a9211e810ed1,2,46,8a27d2d096014abfa769d1519ac2f8d7,2,,,,8a27d2d096014abfa769d1519ac2f8d7,0,0
0,JAFAR PANAHI,PERSON,Iranian film director who was associated with the Iranian New Wave film movement,cc170457a960544ed3d0224c5691fb16,1,50,fdbf23c82b02441183167a6401d440fa,1,,,,fdbf23c82b02441183167a6401d440fa,0,0
0,SIMON KAPWEPWE,PERSON,Zambian politician and anti-colonialist,cc170457a960544ed3d0224c5691fb16,1,51,5579658e68d54f3c8c62fc286f7b279d,1,,,,5579658e68d54f3c8c62fc286f7b279d,0,0
0,ERNEST LAWRENCE,PERSON,American nuclear physicist who won the Nobel Prize in Physics for his invention of the cyclotron,47c3a3da4017ab81c06e654bd16b5693,3,61,e665cbed6f184990af9195b8309b32c2,3,,,,e665cbed6f184990af9195b8309b32c2,0,0
0,GUSZTAV KELETY,PERSON,"Hungarian painter, graphic artist and art critic",47c3a3da4017ab81c06e654bd16b5693,2,62,cb33063a3f524f9ead599e2166863e65,2,,,,cb33063a3f524f9ead599e2166863e65,0,0
0,CARTER OOSTEROUSE,PERSON,Actor who subsequently enrolled in acting school,40391683f53c212cdd47f8f58e0c79bc,1,68,ccf556b720a747d6ac73984ab88b8739,1,,,,ccf556b720a747d6ac73984ab88b8739,0,0
0,AMY SMART,PERSON,"Carter Oosterhouse's co-star in the sci-fi drama The""",40391683f53c212cdd47f8f58e0c79bc,7,69,f33c4b36b7fb4c4fbc03c5162f09d2d8,7,,,,f33c4b36b7fb4c4fbc03c5162f09d2d8,0,0
0,HILTON EDWARDS,PERSON,"English-born Irish actor, co-founder of Irish theatre",4c0790f1525057779a62c94659ffab24,1,78,73291d0b571645e8acfd961e246f6ddf,1,,,,73291d0b571645e8acfd961e246f6ddf,0,0
0,ICCHOKAS MERAS,PERSON,Lithuanian writer,4c0790f1525057779a62c94659ffab24,1,79,eb6ee2d55c7a452599e413ecca089c58,1,,,,eb6ee2d55c7a452599e413ecca089c58,0,0
0,TADJ OL-MOLOUK,PERSON,,9a66b40492ab87b0de6a1275cbac9c3c,2,84,40e81f96cb4746a0810d99f49b269d3f,2,,,,40e81f96cb4746a0810d99f49b269d3f,0,0
0,JOHN MANDER,PERSON,"British political commentator, writer, translator and poet who died on 2 September 1978",2ff07673c8389c3f04bbe6cbbaa400c0,1,88,f892a2834867432c9f0fa7e0e9e2af9a,1,,,6,f892a2834867432c9f0fa7e0e9e2af9a,0,0
0,INGE SCHMITZ-FEUERHAKE,PERSON,"German physicist and mathematician born in Osnabrück, Germany on 28 September 1935",2ff07673c8389c3f04bbe6cbbaa400c0,2,89,57b92b19b9de4d3ea0b1f043094ed064,2,,,,57b92b19b9de4d3ea0b1f043094ed064,0,0
0,NICOLAAS LAURENS BURMAN,PERSON,Dutch botanist and linguist who was not held hostage,ca7e6cdfb4349360e85b0a46f1e60720,1,94,a0bae165cfcb4783a61aa29aca3392bc,1,,PERSON,,a0bae165cfcb4783a61aa29aca3392bc,0,0
0,MANIERRE DAWSON,PERSON,American painter and sculptor who was not held hostage,ca7e6cdfb4349360e85b0a46f1e60720,1,95,ae5cdc58bdde4e819bd5dc78add7adc5,1,,PERSON,,ae5cdc58bdde4e819bd5dc78add7adc5,0,0
0,ANNE TERESA ENRIGHT,PERSON,Anne Teresa Enright is an Irish writer,09132f8fd32d7be70e18c850ac909fb0,2,107,be2086e440e44e60a5636afec4e24a2f,2,,,,be2086e440e44e60a5636afec4e24a2f,0,0
0,PAULUS POTTER,PERSON,Dutch painter who specialized in animals within landscapes,81cabe6de9332c9a83faff219e3f42ed,1,115,2d4b5f6d4fc943a28aefb96714c7a17b,1,,,,2d4b5f6d4fc943a28aefb96714c7a17b,0,0
0,ANNA HEGNER,PERSON,"Swiss violinist, music composer and pedagogue",81cabe6de9332c9a83faff219e3f42ed,1,116,c5b7114bc11b4d49a55dfd2e4e4f2806,1,,,,c5b7114bc11b4d49a55dfd2e4e4f2806,0,0
0,KONRAD KRAFFT VON DELLMENSINGEN,PERSON,Bavarian Army general in World War I,81cabe6de9332c9a83faff219e3f42ed,1,117,dd6b07c1e91744f4990d434637834e36,1,,,,dd6b07c1e91744f4990d434637834e36,0,0
0,CHARLES DICKENS,PERSON,"Author who wrote ""Our Mutual Friend""",ed690046273529c87e32744a676dede4,0,132,b7c31f155c5f4ab692bd522128073c95,0,,,,b7c31f155c5f4ab692bd522128073c95,0,0
0,FRANK BUCSER,PERSON,"Frank Buchser, journalist who was not held hostage",e9f2ae4f8945475d028ad4bf08e23a54,0,134,0aa6ef85aeeb4bf184b2c3c895a9bedb,0,,,,0aa6ef85aeeb4bf184b2c3c895a9bedb,0,0
0,BRUNO SUTKUS,PERSON,"Bruno Sutkus, Lithuanian-German sniper in World War II, not related to hostage situation",e9f2ae4f8945475d028ad4bf08e23a54,0,135,456da54807824f5a86e74f46174202f6,0,,,,456da54807824f5a86e74f46174202f6,0,0
0,ARTHUR G. CRANE,PERSON,Arthur G. Crane,856eeba3ff42bc5566b286f0417b636c,4,136,793775b66cdf4f9bb6c5b1c4a852e4d6,4,,,,793775b66cdf4f9bb6c5b1c4a852e4d6,0,0
0,GRÃO VASCO,PERSON,A significant Portuguese painter from the 15th century,ce8fa2c80e7d3816984a1f7902e8d635,0,146,b5e871c8c2dc493cb60681314b2fbd04,0,,,,b5e871c8c2dc493cb60681314b2fbd04,0,0
0,SUSAN MOLDOW,PERSON,Charles Scribner's Sons publisher from 1994 to 2012,f964d2eae9e0ac6666925752d9b28efd,1,152,270e873630864a939fa627426397e200,1,,,,270e873630864a939fa627426397e200,0,0
0,NAN GRAHAM,PERSON,Current Charles Scribner's Sons publisher,f964d2eae9e0ac6666925752d9b28efd,1,153,22191fe8d4fc440084425f6f41b21f7a,1,,,,22191fe8d4fc440084425f6f41b21f7a,0,0
0,IVAN PANAEV,PERSON,"Russian writer, literary critic, journalist and magazine publisher",f964d2eae9e0ac6666925752d9b28efd,1,155,c16f803c3ae2400f9be42a8bdbca5127,1,,,,c16f803c3ae2400f9be42a8bdbca5127,0,0
0,HOWARD MARTIN TEMIN,PERSON,American geneticist and virologist,f964d2eae9e0ac6666925752d9b28efd,4,157,349db8a3dcdd4946a444b3c722af3032,4,,,,349db8a3dcdd4946a444b3c722af3032,0,0
0,RENATO DULBECCO,PERSON,Italian virologist who shared the 1975 Nobel Prize in Physiology or Medicine with Howard Martin Temin and David Baltimore,f964d2eae9e0ac6666925752d9b28efd,1,158,aee3ce50ca4c414aa569596c77503d63,1,,,,aee3ce50ca4c414aa569596c77503d63,0,0
0,DAVID BALTIMORE,PERSON,American molecular biologist who shared the 1975 Nobel Prize in Physiology or Medicine with Howard Martin Temin and Renato Dulbecco,f964d2eae9e0ac6666925752d9b28efd,1,159,1c4c5ab8f6334c49a0056d9ded00f7b5,1,,,,1c4c5ab8f6334c49a0056d9ded00f7b5,0,0
0,KONSTANTIN KONSTANTINOV,PERSON,Grand Duke Konstantin Pavlovich of Russia who was involved in the Decembrist revolt,e3af5e38477861a70c61d494dbc11d3a,1,160,673ea04296204d328bb56ec7c82d6daf,1,,,,673ea04296204d328bb56ec7c82d6daf,0,0
0,CARL SOFUS LUMHOLTZ,PERSON,"Norwegian explorer and ethnographer, best known for his research on indigenous cultures of Australia and Mexico",e3af5e38477861a70c61d494dbc11d3a,1,161,f4cdc63f0bcc408dbf9c3d4325bd7d0c,1,,,,f4cdc63f0bcc408dbf9c3d4325bd7d0c,0,0
0,KORNELIS KETEL,PERSON,Dutch painter,982e60a5a179d9f8561c55aec02e8dde,0,165,23ba5bc6986a4fd480c4f1657f7f0c9d,0,,,,23ba5bc6986a4fd480c4f1657f7f0c9d,0,0
0,CONRAD ANSORGE,PERSON,German businessman,8e416cbacf44189efd6f4ad8b79be007,1,166,6de86aa7c06c42f19a9768bae7551ef6,1,,,,6de86aa7c06c42f19a9768bae7551ef6,0,0
0,GERMAINE GREER,PERSON,Australian writer and public intellectual,8e416cbacf44189efd6f4ad8b79be007,1,167,455b1a48d2884ebea545a4a62834320d,1,,,,455b1a48d2884ebea545a4a62834320d,0,0
0,FRANÇOIS DE JOYEUSE,PERSON,"François de Joyeuse, a person",69317aa93658d6e4d59f7f0aa978dfc2,1,171,6e84696b93f946889113409b67794323,1,,,,6e84696b93f946889113409b67794323,0,0
0,WILHELM JACOBY,PERSON,"Wilhelm Jacoby, a person",69317aa93658d6e4d59f7f0aa978dfc2,1,173,623911f82ef043918c952e762a7fa2a0,1,,,2,623911f82ef043918c952e762a7fa2a0,0,0
0,ROBERT YELVERTON TYRRELL,PERSON,Robert Yelverton Tyrrell,71ee8f7e9ac8a34202263d4fed9660bf,1,179,34deb05f2b5e4f1fa072d19ae59cd8d2,1,,,,34deb05f2b5e4f1fa072d19ae59cd8d2,0,0
0,ADAM RICHARD SANDLER,PERSON,Adam Richard Sandler,71ee8f7e9ac8a34202263d4fed9660bf,2,181,833751588a46431fb625b16b55e8bd72,2,,,,833751588a46431fb625b16b55e8bd72,0,0
0,ALDO VON PINELLI,PERSON,"Aldo von Pinelli (1913–1967) was an Italian screenwriter, lyricist and film producer.",96b5997841a4fda395addd3397a5bcbd,1,186,0f8cbdf1fda9474ab8bcfbd88ca87907,1,,,1,0f8cbdf1fda9474ab8bcfbd88ca87907,0,0
